SID,ISO_TIME,LAT,LON,WMO_WIND,wind_was_missing,wind_imputation,WMO_PRES,pres_was_missing,pres_imputation,Status Wind,Status Pres
1980056S15059,1980-02-28 15:00:00,-15.3,60.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-28 18:00:00,-15.3,60.6,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-28 21:00:00,-15.3,60.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-29 00:00:00,-15.3,60.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-29 03:00:00,-15.3,60.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-29 06:00:00,-15.4,60.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-29 09:00:00,-15.4,60.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-29 12:00:00,-15.5,60.8,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-29 15:00:00,-15.6,60.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-29 18:00:00,-15.7,60.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-02-29 21:00:00,-15.8,60.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-01 00:00:00,-16.0,60.8,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-01 03:00:00,-16.4,60.6,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-01 06:00:00,-16.9,60.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-01 09:00:00,-17.4,59.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-01 12:00:00,-17.8,59.6,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-01 15:00:00,-17.9,59.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-01 18:00:00,-17.8,59.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-01 21:00:00,-17.9,59.1,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-02 00:00:00,-17.9,58.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-02 03:00:00,-17.9,58.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-02 06:00:00,-17.9,58.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-02 09:00:00,-18.0,58.1,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-02 12:00:00,-18.0,57.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-02 15:00:00,-18.0,57.6,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
